nom,note,photo,lien,prix
"PC portable HP 15s-fq2059nf - 15,6"" FHD - Core i3-1125G4 - RAM 8Go - 512Go SSD - Intel UHD Graphics - Windows 11",,https://www.cdiscount.com/pdt2/9/n/f/1/300x300/15sfq2059nf/rw/pc-portable-hp-15s-fq2059nf-15-6-fhd-core-i3.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-hp-15s-fq2059nf-15-6-fhd-core-i3/f-1070992-15sfq2059nf.html#mpos=0|cd,451€99
"PC Portable HP 17-cp2000nf - 17.3"" FHD - Ryzen-5 7520U - RAM 16Go - Stockage 512Go SSD - Windows 11 - AZERTY","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/6/7/2/1/300x300/hp0197192907672/rw/pc-portable-hp-17-cp2000nf-17-3-fhd-ryzen-5-7.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-hp-17-cp2000nf-17-3-fhd-ryzen-5-7/f-1070992-hp0197192907672.html?idOffre=2645429762#mpos=0|mp,604€83
"PC Portable HP 15-fc0071nf - 15,6"" FHD - Ryzen 5-7520U - RAM 16Go - Stockage 512Go SSD - Win 11 + Souris Z3700","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/7/0/0/1/300x300/bunfc0071nfz3700/rw/pc-portable-hp-15-fc0071nf-15-6-fhd-ryzen-5-7.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-hp-15-fc0071nf-15-6-fhd-ryzen-5-7/f-1070992-bunfc0071nfz3700.html#mpos=0|cd,509€99
"PC Portable HP 14s-dq2038nf - 14"" HD - Intel Core i3-1115G4 - RAM 8Go - 256Go SSD - Win 11 S - Noir + Housse de protection HP 14""","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/o/u/s/1/300x300/bun14sdq2038hous/rw/pc-portable-hp-14s-dq2038nf-14-hd-intel-core.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-hp-14s-dq2038nf-14-hd-intel-core/f-1070992-bun14sdq2038hous.html#mpos=0|cd,409€99
"PC Portable ASUS VivoBook 14 R1400 | 14"" FHD - Intel Core i3-1115G4 - RAM 8Go - 256Go SSD - Win 11","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/9/6/w/1/300x300/r1400eaek1696w/rw/pc-portable-asus-vivobook-14-r1400-14-fhd-int.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-asus-vivobook-14-r1400-14-fhd-int/f-1070992-r1400eaek1696w.html#mpos=0|cd,429€99
PC HP Pro 6305 SFF A4-5300B 3.40GHz 16Go/2To Wifi W10 + Ecran 20,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/6/0/4/1/300x300/hp3665541042604/rw/pc-hp-pro-6305-sff-a4-5300b-3-40ghz-16go-2to-wifi.jpg,https://www.cdiscount.com/informatique/achat-pc-ordinateur/pc-hp-pro-6305-sff-a4-5300b-3-40ghz-16go-2to-wifi/f-1070853-hp3665541042604.html?idOffre=1806443705#mpos=0|mp,248€99
"PC Portable HP 15s-fq0014nf - 15.6"" FHD - Celeron N4120 - RAM 4Go - 128Go SSD - Win 11S -Microsoft 365 Personnel inclus 1 an- AZERTY","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/6/6/6/1/300x300/hp0197498543666/rw/pc-portable-hp-15s-fq0014nf-15-6-fhd-celeron.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-hp-15s-fq0014nf-15-6-fhd-celeron/f-1070992-hp0197498543666.html#mpos=0|cd,281€99
PC Portable LENOVO V15 G3 - i3-1215U - 8Go RAM - 256Go SSD - 15.6FHD,Score global : 5 étoiles sur 5,https://www.cdiscount.com/pdt2/0/1/0/1/300x300/len1689898012010/rw/lenovo-ordinateur-portable-82tt00ewfr-core-i3-1215.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/lenovo-ordinateur-portable-82tt00ewfr-core-i3-1215/f-1070992-len1689898012010.html?idOffre=2765289192#mpos=0|mp,396€00
"Vibox VI-61 PC Gamer - 22"" Écran Pack - AMD Ryzen 3200GE - Radeon Vega 8 Graphiques - 16Go RAM - 1To SSD - Win11 - WiFi","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/6/1/1/300x300/vib5057551885261/rw/vibox-vi-61-pc-gamer-24-ecran-pack-amd-athlon.jpg,https://www.cdiscount.com/informatique/achat-pc-ordinateur/vibox-vi-61-pc-gamer-24-ecran-pack-amd-athlon/f-1070851-vib5057551885261.html#mpos=0|mp,699€95
"PC Portable HP 14s-dq2038nf - 14"" HD - Intel Core i3-1115G4 - RAM 8Go - Stockage 256Go SSD - Windows 11 S - Noir - AZERTY","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/8/n/f/1/300x300/hp14sdq2038nf/rw/pc-portable-hp-14s-dq2038nf-14-hd-intel-core.jpg,https://www.cdiscount.com/informatique/ordinateurs-pc-portables/pc-portable-hp-14s-dq2038nf-14-hd-intel-core/f-1070992-hp14sdq2038nf.html#mpos=0|cd,399€99
HyperX SoloCast,,https://www.cdiscount.com/pdt2/6/6/3/1/300x300/auc0740617301663/rw/hyperx-solocast.jpg,https://www.cdiscount.com/informatique/memoire-ram/hyperx-solocast/f-10716-auc0740617301663.html?idOffre=2313612359#mpos=0|mp,69€90
MSI - MEG CORELIQUID S360 - Ventilateur PC - 120mm - Noir,Score global : 5 étoiles sur 5,https://www.cdiscount.com/pdt2/0/0/1/1/300x300/9s66a0521001/rw/msi-meg-coreliquid-s360-ventilateur-pc-120mm.jpg,https://www.cdiscount.com/informatique/ventilation-refroidissement/msi-meg-coreliquid-s360-ventilateur-pc-120mm/f-10789-9s66a0521001.html#mpos=0|cd,269€99
office 365 version a vie 2022 5 Pc ou Mac - Livraison 2H par email,,https://www.cdiscount.com/pdt2/1/9/6/1/300x300/mic1698966277196/rw/office-365-version-a-vie-2022-5-pc-ou-mac-livrai.jpg,https://www.cdiscount.com/informatique/logiciels-a-telecharger/office-365-version-a-vie-2022-5-pc-ou-mac-livrai/f-10776-mic1698966277196.html#mpos=0|mp,8€99
