nom,note,photo,lien,prix
Samsung Galaxy S21 128Go Blanc - Reconditionné - Excellent état,"Score global : 3,5 étoiles sur 5",https://www.cdiscount.com/pdt2/9/c/n/1/300x300/rcdbycds459cn/rw/samsung-galaxy-s21-128go-blanc-reconditionne-e.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-128go-blanc-reconditionne-e/f-1440402-rcdbycds459cn.html?idOffre=2903122275#mpos=0|mp,257€00
SAMSUNG Galaxy S21FE 128Go 5G Lavande,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/8/8/3/1/300x300/sam8806094561883/rw/samsung-galaxy-s21fe-128go-5g-lavande.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21fe-128go-5g-lavande/f-1440402-sam8806094561883.html?idOffre=2846622121#mpos=0|mp,374€99
"TÉLÉPHONIE, Smartphone, GSM / GPRS / EDGE / UMTS / HSDPA, Samsung, Samsung Galaxy S21 128 Go 5g GrisConçu pour une expérience","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/7/7/6/1/300x300/sam8806090892776/rw/telephonie-smartphone-gsm-gprs-edge-umts.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/telephonie-smartphone-gsm-gprs-edge-umts/f-1440402-sam8806090892776.html?idOffre=2736461424#mpos=0|mp,316€99
"TÉLÉPHONIE, Smartphone, GSM / GPRS / EDGE / UMTS / HSDPA, Samsung, Samsung Galaxy S21 + 128 Go 5g NoirConçu pour une expérience","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/9/6/5/1/300x300/sam8806090883965/rw/telephonie-smartphone-gsm-gprs-edge-umts.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/telephonie-smartphone-gsm-gprs-edge-umts/f-1440402-sam8806090883965.html?idOffre=3079416220#mpos=0|mp,339€00
SAMSUNG Galaxy A23 5G 128Go Noir,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/0/3/0/1/300x300/sam8806094534030/rw/samsung-galaxy-a23-5g-128go-noir.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a23-5g-128go-noir/f-1440402-sam8806094534030.html?idOffre=2742320520#mpos=0|mp,234€99
"Téléphones Dual SIM, Samsung Samsung SM-G991B Galaxy S21 Dual Sim 8 + 128 Go Enterprise Edition gris fantôme DE.Conçu pour une","Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/7/2/1/300x300/sam8806092114272/rw/telephones-dual-sim-samsung-samsung-sm-g991b-gala.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/telephones-dual-sim-samsung-samsung-sm-g991b-gala/f-1440402-sam8806092114272.html?idOffre=2968413961#mpos=0|mp,314€00
Samsung Galaxy S21 Plus 256Go Noir - Reconditionné - Etat correct,Score global : 3 étoiles sur 5,https://www.cdiscount.com/pdt2/0/e/c/1/300x300/rcdbycds470ec/rw/samsung-galaxy-s21-plus-256go-noir-reconditionne.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-plus-256go-noir-reconditionne/f-1440402-rcdbycds470ec.html#mpos=0|mp,367€00
SAMSUNG Galaxy S21 Plus 128Go Violet,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/2/8/v/1/300x300/samgalaxs21p128v/rw/samsung-galaxy-s21-plus-128go-violet.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-plus-128go-violet/f-1440402-samgalaxs21p128v.html?idOffre=2672617046#mpos=0|mp,375€99
SAMSUNG Galaxy S21FE 128Go 5G Graphite,Score global : 4 étoiles sur 5,https://www.cdiscount.com/pdt2/8/3/8/1/300x300/sam8806094561838/rw/samsung-galaxy-s21fe-128go-5g-graphite.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21fe-128go-5g-graphite/f-1440402-sam8806094561838.html#mpos=0|cd,759€00
SAMSUNG Galaxy S21 Ultra 256Go Noir,"Score global : 4,5 étoiles sur 5",https://www.cdiscount.com/pdt2/5/6/n/1/300x300/samgalaxs21u256n/rw/samsung-galaxy-s21-ultra-256go-noir.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-s21-ultra-256go-noir/f-1440402-samgalaxs21u256n.html?idOffre=3100487752#mpos=0|mp,524€99
SAMSUNG Galaxy A21s Noir - Reconditionné - Très bon état,Score global : 5 étoiles sur 5,https://www.cdiscount.com/pdt2/t/b/e/1/300x300/sama21sntbe/rw/samsung-galaxy-a21s-noir-reconditionne-tres-bo.jpg,https://www.cdiscount.com/telephonie/telephone-mobile/samsung-galaxy-a21s-noir-reconditionne-tres-bo/f-1440402-sama21sntbe.html?idOffre=2238810607#mpos=0|mp,153€68
